========================================================================================
ATS07 — STRONG BASELINE CHALLENGE
========================================================================================
REPO_ROOT:      /workspace/perspective-llm
ATS06 source:   /workspace/perspective-llm/ATS/models/ats_06_cear_g_ca.py
ATS06 result:   /workspace/perspective-llm/results/ATS/cear_g_ca/rep_seed0_20260924_024922
RESULT_ROOT:    /workspace/perspective-llm/results/ATS/strong_baselines_ca/seed0_20260924_165719
DEVICE:         cuda
GPU:            NVIDIA GeForce RTX 5060 Ti
train_seed:     0
episode_seed:   0
retrieval k:    (3, 5, 10)
temperature:    0.2
Loading cached compact CA table...
Loading cached frozen pair embeddings...
users train/val/test: 1685 361 361
fixed embed dim:       384
ATS06 best epoch:      275
ATS06 best val NLL:    1.138967523176185
[static   ] epoch 001 | train=1.3765 | val=1.3606
[static   ] epoch 002 | train=1.3389 | val=1.3070
[static   ] epoch 003 | train=1.2939 | val=1.2564
[static   ] epoch 004 | train=1.2566 | val=1.2318
[static   ] epoch 005 | train=1.2276 | val=1.2202
[static   ] epoch 006 | train=1.2306 | val=1.2147
[static   ] epoch 007 | train=1.2270 | val=1.2109
[static   ] epoch 008 | train=1.2335 | val=1.2089
[static   ] epoch 009 | train=1.2166 | val=1.2050
[static   ] epoch 010 | train=1.2136 | val=1.2021
[static   ] epoch 011 | train=1.2265 | val=1.2012
[static   ] epoch 012 | train=1.2293 | val=1.1995
[static   ] epoch 013 | train=1.2182 | val=1.1984
[static   ] epoch 014 | train=1.2293 | val=1.1973
[static   ] epoch 015 | train=1.2278 | val=1.1972
[static   ] epoch 016 | train=1.2006 | val=1.1939
[static   ] epoch 017 | train=1.2140 | val=1.1933
[static   ] epoch 018 | train=1.2232 | val=1.1931
[static   ] epoch 019 | train=1.2093 | val=1.1921
[static   ] epoch 020 | train=1.2171 | val=1.1912
[static   ] epoch 021 | train=1.2237 | val=1.1915
[static   ] epoch 022 | train=1.2306 | val=1.1921
[static   ] epoch 023 | train=1.2178 | val=1.1916
[static   ] epoch 024 | train=1.2204 | val=1.1899
[static   ] epoch 025 | train=1.2209 | val=1.1887
[static   ] epoch 026 | train=1.2227 | val=1.1883
[static   ] epoch 027 | train=1.2180 | val=1.1875
[static   ] epoch 028 | train=1.2045 | val=1.1864
[static   ] epoch 029 | train=1.2185 | val=1.1869
[static   ] epoch 030 | train=1.2248 | val=1.1871
[static   ] epoch 031 | train=1.1905 | val=1.1853
[static   ] epoch 032 | train=1.2030 | val=1.1845
[static   ] epoch 033 | train=1.2178 | val=1.1850
[static   ] epoch 034 | train=1.1994 | val=1.1839
