turn,choice_position,n,mean_words,mean_chars
first,a,90235,105.31279437025545,655.5689920762453
first,b,90235,110.599656452596,690.1080401174711
first,c,90233,116.93891370119579,732.2870790065718
first,d,90229,117.92115616930255,741.7334670671291
second,a,83783,121.78167408662856,759.87657400666
second,b,83784,124.45471689105318,780.9383653203475
second,c,83680,127.52203632887189,803.4410253346081
second,d,83514,136.15713533060324,859.7712120123572
third,a,41171,132.22272959121713,825.2124796580117
third,b,41175,135.2357255616272,849.8487917425622
third,c,41073,137.66138339054854,867.5956224283592
third,d,40952,147.08790779449112,928.3380543074819
fourth,a,19754,136.03346157740205,849.3059127265363
fourth,b,19756,139.350931362624,874.8326584328812
fourth,c,19712,142.48107751623377,898.2150974025974
fourth,d,19633,152.56537462435696,962.7613202261499
