comparison_hash,n_rows,n_users,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,waves,languages
eee8feedbce98033d4331da17b5534d0ed2baa2c,1,1,-0.0,1.0,0,1,0,0,1,en
d55fa4d6b15828af0803a27cccfadd489b2aba14,14,14,1.1488348542809166,0.7142857142857143,2,0,2,10,1,fr
921407085361c3de886f63507c99556554c7b522,10,10,1.5709505944546687,0.6,1,1,2,6,1,it
95a628c1fca1a108abd4a5d07a5071e463a97964,15,15,1.8294732983598407,0.4666666666666667,3,3,2,7,1,pt
68488a366bdc655c0c1a0e81898f84d943383c8b,13,13,1.419556298571613,0.5384615384615384,2,0,4,7,1,pt
1588ce61b6e80f242112cf710f0114664f08ec4d,17,17,1.6183941088363927,0.5882352941176471,3,2,2,10,1,it
c1bd4507ad107fe15af093db1be522c57870f118,17,17,1.5221898721658211,0.47058823529411764,4,0,5,8,1,fr
bc5cacfd692710012b025505e955705fc9080ccc,17,17,1.903967813087766,0.35294117647058826,6,4,5,2,1,hi
3e64462b0c177372a1144174568569daa9bf3723,1,1,-0.0,1.0,1,0,0,0,1,fr
d86eb3442a21797dfd466d7c2c761696f25bd4de,1,1,-0.0,1.0,0,0,1,0,1,en
b64c4c045198a4b5d20855d3fd59bfe446aac4b6,13,13,1.3346791410515946,0.6153846153846154,3,2,0,8,1,hi
4091a9cd0a2de8a4be6612899cdb11bb8dd9828e,15,15,1.5058231002082845,0.4666666666666667,3,5,0,7,1,it
4ceff7c86263d00c70b72df37c944aabdc8a1c69,1,1,-0.0,1.0,1,0,0,0,1,pt
1edb648a197886dae4c3d8673b66f44b5f2b3138,1,1,-0.0,1.0,1,0,0,0,1,it
c07d99c0c4d6f10144a092dd88726caaed03d10d,29,29,1.876597555073194,0.3793103448275862,11,8,7,3,1,en
3c0e36e757e5c98064fe847e8f306b55c0850f9c,11,11,1.0957952550009336,0.7272727272727273,0,1,2,8,1,pt
1fe58093769913815c995add2abdeb818baa8c80,14,14,0.74959525725948,0.7857142857142857,3,0,0,11,1,hi
50ff2d2c2050abfe69d85d553d30359a3d282238,32,32,1.5084321011224375,0.59375,19,6,1,6,1,en
0e360bf673b80ad0f4da0a79bcb7cc12acd64cca,10,10,1.3567796494470397,0.7,1,1,1,7,1,pt
44ae8edbf76017bda6fd1cf3e54545ae050db8d5,17,17,0.6722948170756379,0.8235294117647058,0,0,14,3,1,it
62558d6fc6cb790bb2d46977d35715b9953c5157,27,27,1.850506917659374,0.4074074074074074,5,8,3,11,1,en
e8302e6df7e2427bb5dbb423b0a7ae8e5312a162,13,13,1.5485806065228545,0.38461538461538464,5,3,5,0,1,hi
