user_id,conversations,waves,n_waves,languages,n_languages,countries,n_countries,pregenerated_conversations,user_initiated_conversations,observed_turns,feedback_items,preference_choices,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,unique_prompt_hashes,duplicate_prompt_rows_within_user,length_comparisons,fraction_chosen_longest,fraction_chosen_shortest
61571086213998,26,1,1,it,1,italy,1,18,8,75,45,75,1.769289065104901,0.38666666666666666,29,17,4,25,75,0,75,0.5866666666666667,0.16
61571428663700,27,1,1,it,1,italy,1,20,7,73,61,73,1.8107045805743365,0.4246575342465753,31,11,8,23,73,0,73,0.3287671232876712,0.3698630136986301
61571535067898,28,1,1,it,1,italy,1,22,6,77,21,77,1.9704148632399554,0.3246753246753247,25,14,19,19,77,0,76,0.3815789473684211,0.25
61571645173270,28,1,1,it,1,italy,1,20,8,77,6,77,1.9938565481996733,0.2857142857142857,22,17,19,19,77,0,77,0.18181818181818182,0.37662337662337664
61571759696523,29,1,1,it,1,italy,1,21,8,82,82,82,1.8940242989747533,0.36585365853658536,10,17,30,25,82,0,82,0.36585365853658536,0.15853658536585366
61572588880916,19,1,1,fr,1,france,1,16,3,46,0,46,1.7694191641437167,0.4782608695652174,4,11,9,22,46,0,45,0.4222222222222222,0.15555555555555556
61572607540933,28,1,1,fr,1,france,1,22,6,73,0,73,1.6540671635064825,0.4520547945205479,33,15,2,23,73,0,72,0.3611111111111111,0.2638888888888889
61572611921169,26,1,1,fr,1,france,1,19,7,72,68,72,1.9277341442140377,0.3333333333333333,23,14,11,24,71,1,72,0.375,0.18055555555555555
61572620411327,30,1,1,fr,1,france,1,19,11,84,0,84,1.974628930464108,0.3333333333333333,19,28,18,19,84,0,84,0.21428571428571427,0.3333333333333333
61572629921625,25,1,1,pt,1,brazil,1,17,8,68,68,68,1.9637905804372884,0.3088235294117647,18,21,11,18,68,0,68,0.27941176470588236,0.2647058823529412
61572643031348,25,1,1,pt,1,brazil,1,20,5,64,22,64,1.6904463844329365,0.546875,35,13,7,9,63,1,64,0.25,0.265625
61572673361821,25,1,1,pt,1,brazil,1,19,6,69,15,69,1.9643878211224883,0.34782608695652173,24,14,15,16,69,0,69,0.42028985507246375,0.2318840579710145
61572683111520,28,1,1,fr,1,france,1,23,5,76,0,76,1.858639733861278,0.4473684210526316,13,17,12,34,76,0,76,0.42105263157894735,0.21052631578947367
61572702917563,25,1,1,fr,1,france,1,17,8,66,7,66,1.74917466839001,0.45454545454545453,21,6,9,30,66,0,66,0.3939393939393939,0.2727272727272727
61572723287435,15,1,1,pt,1,brazil,1,15,0,16,0,16,1.7961796919474975,0.4375,2,5,2,7,15,1,15,0.26666666666666666,0.26666666666666666
61572724157090,27,1,1,en,1,united states,1,21,6,73,60,73,1.7955981195227895,0.4383561643835616,32,12,7,22,73,0,73,0.3561643835616438,0.2876712328767123
61572727877346,27,1,1,fr,1,france,1,19,8,75,53,75,1.9179862344413507,0.4,30,16,13,16,75,0,75,0.28,0.25333333333333335
61572728411956,39,1,1,fr,1,france,1,22,17,104,18,104,1.7539880348598176,0.4807692307692308,50,14,11,29,104,0,103,0.4077669902912621,0.18446601941747573
61572731112276,26,1,1,fr,1,france,1,21,5,71,0,71,1.9876231253082954,0.28169014084507044,20,18,14,19,71,0,71,0.323943661971831,0.23943661971830985
61572766786766,27,1,1,en,1,united states,1,20,7,74,47,74,1.96024668339855,0.33783783783783783,25,14,15,20,74,0,74,0.33783783783783783,0.1891891891891892
61572773292795,27,1,1,fr,1,france,1,19,8,67,1,67,1.9566215111258431,0.31343283582089554,20,15,11,21,67,0,64,0.328125,0.140625
61572773866178,4,1,1,hi,1,india,1,4,0,12,12,12,1.5510981710072647,0.5833333333333334,7,1,3,1,12,0,12,0.75,0.16666666666666666
61572775512570,27,1,1,fr,1,france,1,19,8,78,8,78,1.7827870348969683,0.5,39,12,11,16,78,0,78,0.3076923076923077,0.28205128205128205
61572775543166,22,1,1,pt,1,brazil,1,18,4,60,18,60,1.8646580691230399,0.43333333333333335,14,12,8,26,60,0,60,0.4166666666666667,0.18333333333333332
61572786436276,28,1,1,pt,1,brazil,1,22,6,75,75,75,1.8798239601094329,0.4,20,16,9,30,75,0,75,0.36,0.21333333333333335
