persona_id,n_blocks,n_preference_updates_map,n_updated_blocks,n_ask_to_forget_blocks,n_native_update_pairs,n_blocks_with_qa,n_self_blocks,n_others_blocks,mean_turns_per_block,system_prompt_keys,n_stereotypical_preferences,n_anti_stereotypical_preferences,n_neutral_preferences,n_therapy_background,n_health_and_medical_conditions
15,101,31,53,22,31,50,98,3,3.0693069306930694,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|personality|education|occupation|demographics|speaking_style_with_chatbot,21,27,25,20,10
48,82,24,41,17,24,35,79,3,2.951219512195122,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|marital_status|children|personality|education|occupation|immigration_plans|lifestyle|speaking_style_to_chatbot|alternative_personas_note,12,30,30,20,10
52,83,20,43,23,20,32,80,3,3.0120481927710845,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|languages_spoken|religion|degree|school|occupation|industry|employer|years_in_field|marital_status|household|income_bracket|political_views|personality|interests|hobbies|media_consumption|technology|speaking_style_with_chatbot,9,26,26,20,10
54,98,22,46,24,22,46,93,5,3.0408163265306123,short_persona|name|age|gender|sexuality|race_ethnicity|nationality|current_location|languages_spoken|religion|marital_status|children|personality_traits|education|career|hobbies_interests|tech_comfort_level|financial_status|political_views|speaking_style_to_chatbot|psychological_profile,24,30,29,19,10
69,108,30,57,27,30,48,108,0,3.1481481481481484,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|languages_spoken|religion|degree|school|family|personality|hobbies|technology_use|speaking_style|psychological_profile,20,28,29,20,10
71,122,27,55,29,26,66,117,5,3.0163934426229506,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|personality|education|family_background|hobbies_interests|daily_routine|technology_use|values_beliefs|emotional_context_with_parent|speaking_style_to_chatbot|psychological_context,26,30,25,20,10
76,104,35,54,19,35,55,99,5,2.9038461538461537,short_persona|name|age|gender|sexual_orientation|race|nationality|ethnicity_detailed|birthplace|current_residence|marital_status|spouse|children|education|occupation|languages_spoken|religion|political_leanings|income_range|hobbies_and_interests|physical_description|technology_comfort_level|sports_fandom|speaking_style_to_chatbot,16,29,30,20,10
78,101,27,50,23,27,53,97,4,3.0396039603960396,short_persona|name|age|gender|sexual_orientation|race|nationality|birthplace|current_residence|personality|education|occupation|languages|family_background|hobbies_and_interests|speaking_style_with_chatbot,21,28,28,20,10
98,113,31,57,27,30,58,111,2,3.0,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|personality|education|career|family_background|lifestyle|speaking_style_with_chatbot|day_in_the_life,18,28,30,20,10
99,134,29,61,32,29,65,133,1,2.9776119402985075,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|occupation|location|hobbies_and_interests|technology_use|speaking_style_with_chatbot|other_demographics|daily_routines|favorite_walking_routes,24,27,27,20,10
