key,personas
short_persona,120
name,119
age,119
gender,118
sexual_orientation,118
personality,111
nationality,110
race_ethnicity,84
education,81
speaking_style_to_chatbot,68
languages_spoken,67
occupation,50
marital_status,47
religion,46
location,41
current_location,39
children,37
degree,35
race,34
speaking_style_with_chatbot,32
birthplace,30
hobbies_and_interests,27
family_background,22
career,20
school,18
speaking_style,18
income_bracket,17
hobbies_interests,17
current_residence,17
political_views,14
languages,14
lifestyle,13
technology_use,13
school_or_work,13
hobbies,12
demographics,11
technology_usage,11
technology_comfort_level,9
employment,9
work,9
psychological_profile,8
income_range,8
income_level,8
current_occupation,8
family,7
living_situation,7
ethnicity,7
hometown,7
residence,7
spouse,6
day_in_the_life,6
socioeconomic_status,6
interests,5
tech_comfort_level,5
other_demographics,5
community_involvement,5
religion_spirituality,5
personality_traits,4
political_leanings,4
years_of_experience,4
technological_comfort_level,4
economic_status,4
industry,3
employer,3
financial_status,3
daily_routine,3
travel_history,3
educational_background,3
political_affiliation,3
housing,3
values_and_beliefs,3
current_city,3
undergraduate_degree,3
technology_habits,3
political_view,3
health,3
relationship_status,3
motivations,3
current_profession,3
lifestyle_and_interests,3
work_experience,3
interests_and_hobbies,3
household,2
media_consumption,2
demographic_notes,2
transportation,2
political_alignment,2
backstory,2
family_and_relationships,2
political_viewpoint,2
health_lifestyle,2
city_of_residence,2
digital_habits,2
travel_experience,2
religion_or_spirituality,2
native_language,2
psychological_and_behavioral_profile,2
tech_stack,2
goals,2
public_image,2
tech_usage,2
career_background,2
immigration_plans,1
alternative_personas_note,1
years_in_field,1
technology,1
sexuality,1
values_beliefs,1
emotional_context_with_parent,1
psychological_context,1
ethnicity_detailed,1
physical_description,1
sports_fandom,1
daily_routines,1
favorite_walking_routes,1
behavioral_profile,1
backstory_events,1
living_arrangement,1
additional_context,1
healthcare_needs_and_interests,1
daily_schedule,1
professional_background,1
alternate_variants,1
birthdate,1
siblings,1
parents,1
retirement_life,1
notable_experiences,1
digital_behavior,1
appearance,1
technological_comfort,1
origin,1
immigration_history,1
sample_conversation_snippet,1
professional_experience,1
tech_savviness,1
psychological_motivators,1
habits_and_lifestyle,1
example_dialogue_lines,1
expanded_backstory,1
specializations,1
favorite_books,1
fashion_style,1
work_challenges,1
values,1
religion_or_belief,1
health_status,1
note,1
grandchildren_count,1
work_history,1
current_status,1
sample_transcript_intro,1
sample_transcript,1
pronouns,1
place_of_residence,1
political_leaning,1
lifestyle & interests,1
health_background,1
backstory_timeline,1
digital_presence,1
family_and_social,1
travel_pattern,1
income,1
technological_proficiency,1
life_experiences_and_motivations,1
side_projects,1
neighborhood_type,1
motivation_for_chatbot_use,1
communication_style_with_chatbot,1
detailed_persona,1
chatbot_speaking_style,1
spouse_name,1
social_media_use,1
collecting_habits,1
preferred_learning_style,1
degree_pursuing,1
year_in_program,1
career_goals,1
community_role,1
day_in_the_life_schedule,1
technology_and_social_media,1
lifestyle_and_background,1
partner_profession,1
diet,1
demographic_background,1
psychographic_details,1
undergraduate_school,1
previous_professions,1
notable_achievements,1
other_languages,1
fitness_routine,1
public_persona,1
demographics_detailed,1
education_level,1
high_school,1
aspirations,1
degree_or_training_interest,1
conversational_background_scenario,1
religious_cultural_identity,1
professional_affiliations,1
publications,1
technological_habits,1
artistic_specialization,1
values_and_motivations,1
family_status,1
skills,1
social_values,1
typical_conversational_patterns_and_quirks,1
date_of_birth,1
citizenship,1
demographics_and_lifestyle,1
accessibility_focus,1
racial_identity,1
lifestyle_details,1
specialties,1
professional_certifications,1
work_environment,1
military_background,1
health_and_personal_background,1
musical_influences,1
lifestyle_and_hobbies,1
technology_and_chatbot_interaction,1
insurance_needs_context,1
tech_stack_familiarity,1
income_range_usd,1
biography,1
religion_cultural_background,1
socioeconomic_background,1
lifestyle_habits,1
example_speaking_style_sentence,1
current_work,1
living_conditions,1
gender_identity,1
religion_cultural_identity,1
interests_hobbies,1
demographic_details,1
technology_access,1
challenges,1
pets,1
childhood_background,1
cultural_background,1
behavioral_interaction_map,1
travel_routine_and_workflow,1
community_relationship,1
religious_views,1
daily_routine_and_lifestyle_habits,1
personal_values,1
education_institution,1
technological_profile,1
personal_background,1
other_languages_spoken,1
city,1
state,1
country,1
emotional_profile,1
residency,1
education_details,1
language_proficiency,1
religious_spiritual_views,1
example_influence_of_psychological_analysis_style,1
residency_status,1
annual_income_CNY,1
tech_comfort,1
travel_habits,1
social_media_usage,1
online_presence,1
military_connection,1
citizenship_status,1
