source,user_id,episodes,events
thoughttrace,user1,2,6
thoughttrace,user10,2,10
thoughttrace,user100,2,28
thoughttrace,user1000,2,16
thoughttrace,user1001,2,8
thoughttrace,user1002,2,18
thoughttrace,user1003,2,12
thoughttrace,user1004,2,4
thoughttrace,user1005,2,40
thoughttrace,user1006,2,8
thoughttrace,user1007,2,34
thoughttrace,user1008,1,4
thoughttrace,user1009,1,8
thoughttrace,user101,2,22
thoughttrace,user1010,2,14
thoughttrace,user1011,1,6
thoughttrace,user1012,1,8
thoughttrace,user1013,2,12
thoughttrace,user1014,1,6
thoughttrace,user1015,2,16
thoughttrace,user1016,2,10
thoughttrace,user1017,1,8
thoughttrace,user1018,2,10
thoughttrace,user1019,2,36
thoughttrace,user102,2,16
thoughttrace,user1020,2,40
thoughttrace,user1021,2,6
thoughttrace,user1022,1,4
thoughttrace,user1023,1,16
thoughttrace,user1024,2,38
thoughttrace,user1025,1,12
thoughttrace,user1026,2,10
thoughttrace,user1027,2,6
thoughttrace,user1028,2,16
thoughttrace,user1029,1,6
thoughttrace,user103,2,10
thoughttrace,user1030,2,14
thoughttrace,user1031,1,14
thoughttrace,user1032,1,20
thoughttrace,user1033,2,26
thoughttrace,user1034,1,12
thoughttrace,user1035,1,2
thoughttrace,user1036,1,14
thoughttrace,user1037,1,4
thoughttrace,user1038,1,4
thoughttrace,user1039,1,6
thoughttrace,user104,2,6
thoughttrace,user1040,2,6
thoughttrace,user1041,2,8
thoughttrace,user1042,1,4
thoughttrace,user1043,1,10
thoughttrace,user1044,1,20
thoughttrace,user1045,1,14
thoughttrace,user1046,3,14
thoughttrace,user1047,1,4
thoughttrace,user1048,1,6
thoughttrace,user1049,2,16
thoughttrace,user105,2,26
thoughttrace,user1050,1,2
thoughttrace,user1051,1,4
thoughttrace,user1052,1,14
thoughttrace,user1053,1,6
thoughttrace,user1054,1,4
thoughttrace,user1055,3,20
thoughttrace,user1056,1,6
thoughttrace,user1057,1,10
thoughttrace,user1058,1,8
