split,user_id,language,support_n,query_n
val,61574885769787,fr,6,3
val,61574861412012,it,13,6
val,61574075455618,it,12,6
val,61575731069908,it,13,7
val,61573205543869,fr,13,6
val,61574863962100,it,13,6
val,61573384551006,pt,13,7
val,61575197783629,en,12,6
val,61574845181237,pt,8,4
val,61572854504279,fr,11,5
val,61574819382149,en,13,6
val,61575027123549,en,11,6
val,61574830932348,fr,9,5
val,61575537512546,en,8,4
val,61574727556591,en,10,5
val,61575622629793,it,27,13
val,61575149985527,pt,8,4
val,61575622703059,hi,9,4
val,61575175376019,en,14,7
val,61575208087101,hi,54,27
val,61574970545248,en,14,7
val,61573772530162,it,13,6
val,61574719394258,en,13,7
val,61574795804001,pt,8,4
val,61575034833207,fr,12,6
val,61574935776887,pt,15,7
val,61575449674736,fr,10,5
val,61575605376491,pt,11,5
val,61575244115181,en,14,7
val,61575110099442,en,12,6
val,61574761572305,en,13,7
val,61575314851612,en,13,6
val,61573389545206,it,11,6
val,61573397313375,fr,11,6
val,61575817620916,fr,25,13
val,61575142186223,en,15,8
val,61573221277776,en,12,6
val,61575178964523,pt,7,4
val,61573072801000,fr,13,6
val,61573991159649,it,11,6
val,61575118524020,en,11,5
val,61575172646079,it,12,6
val,61575657758124,fr,34,16
val,61574994845337,en,12,6
val,61574977474091,en,12,6
val,61575001774953,it,13,6
val,61573217543255,hi,10,5
val,61575164835011,en,14,7
val,61575885982810,pt,11,6
val,61574822349643,en,13,6
val,61575821610647,hi,12,6
val,61575778203150,en,18,9
val,61575539348962,pt,15,8
val,61575798740803,fr,13,7
val,61574999765096,fr,12,6
val,61574923626614,en,13,6
val,61575067856735,en,13,6
val,61573540677615,pt,22,11
val,61573043372523,pt,11,6
val,61575233571086,en,11,6
val,61572946057675,en,15,7
val,61575512757622,en,12,6
val,61575661611123,hi,7,4
val,61572629921625,pt,11,5
val,61574940156254,en,9,5
val,61574826673491,fr,13,6
val,61573552737149,pt,11,6
val,61575160042015,en,21,10
val,61575134935995,hi,10,5
val,61575180414410,it,10,5
val,61575098652701,fr,13,7
val,61575324216831,en,15,7
val,61575487324647,it,11,6
val,61574966941859,en,6,3
val,61574866212142,en,29,14
val,61575250222252,it,13,6
val,61573376435892,it,18,9
val,61575109288197,fr,12,6
val,61574814822672,en,31,15
val,61571759696523,it,13,7
val,61574870709711,en,16,8
val,61575017314037,en,13,7
val,61572673361821,pt,7,3
val,61573306072107,fr,13,6
val,61575022876324,hi,9,4
val,61575125876415,en,6,3
val,61575122561316,hi,10,5
val,61574679645828,en,15,8
val,61573432831868,fr,13,6
val,61575849294548,pt,11,5
val,61575207162938,hi,10,5
val,61574100204041,it,13,7
val,61575120497120,en,7,3
val,61575021542608,pt,9,5
val,61574864946828,hi,11,6
val,61575210912858,en,13,7
val,61575531152948,pt,14,7
val,61575145576107,hi,10,5
val,61575196430025,en,15,8
val,61575568321122,pt,12,6
val,61575155845573,pt,11,6
val,61575255680659,it,11,6
val,61575605951092,hi,7,3
val,61575758703690,en,13,6
val,61574870950012,en,9,5
val,61575889192539,pt,9,5
val,61574785574733,it,10,5
val,61575647284322,pt,9,4
val,61575288458576,en,13,6
val,61572893499743,pt,13,6
val,61575253341968,it,9,5
val,61575667162213,en,13,6
val,61575341616290,en,16,8
val,61575323976887,en,22,11
val,61575275282247,en,15,7
val,61575704856021,fr,11,6
val,61574708867579,en,16,8
val,61575755242672,en,16,8
val,61575780141654,en,9,5
val,61574893270334,en,14,7
val,61575584406708,it,10,5
val,61575142838919,en,12,6
val,61574733946017,en,14,7
val,61573296905353,en,15,8
val,61575131847014,pt,13,6
val,61575133126653,it,11,6
val,61575734633308,en,15,8
val,61575131576367,en,15,7
val,61575256804626,en,13,7
val,61575259760425,it,20,10
val,61574837711195,en,14,7
val,61575517659677,pt,11,5
val,61575653601569,en,12,6
val,61575046350558,en,19,9
val,61574775281781,en,15,7
val,61573623976958,it,10,5
val,61575225621439,en,16,8
val,61575999292569,hi,6,3
val,61574783294621,hi,11,5
val,61574980203825,en,12,6
val,61573597434647,en,13,7
val,61575001534754,hi,9,5
val,61575160569222,hi,17,9
val,61573040625137,fr,13,7
val,61574880039090,en,15,7
val,61575595206496,pt,9,4
val,61574857390663,fr,9,5
val,61573693491518,it,8,4
val,61575139756553,pt,9,5
val,61573588616749,en,13,7
val,61575292058797,it,11,6
val,61575111774369,en,13,6
val,61575568620980,fr,11,5
val,61575755039100,pt,7,3
val,61574801265187,pt,12,6
val,61574817494524,fr,11,6
val,61574996507842,hi,8,4
val,61573012877681,pt,13,6
val,61572836863942,en,15,8
val,61575262461413,it,6,3
val,61575122567285,fr,15,7
val,61573003997283,fr,9,5
val,61575140785755,hi,10,5
val,61574864499916,fr,9,4
val,61575091169103,en,16,8
val,61575263074351,en,10,5
val,61574730557113,en,13,6
val,61574763015832,en,11,6
val,61574785483945,fr,9,5
val,61575680395993,en,15,7
val,61573657822094,pt,8,4
val,61574977866022,en,15,8
val,61575391235416,it,10,5
val,61573536988081,fr,11,6
val,61574922094244,en,13,7
val,61575634312550,hi,10,5
val,61573197384523,pt,11,5
val,61575609869498,en,14,7
val,61575178538545,hi,17,9
val,61575180353795,en,11,6
val,61575457030949,pt,10,5
val,61575496258385,en,15,7
val,61575075284018,hi,10,5
val,61575221286306,hi,13,7
val,61573036773006,pt,11,6
val,61574784614138,en,11,6
val,61574848360778,en,13,6
val,61575151246045,fr,13,6
