persona_id,split
0,train
1,train
100,train
102,train
103,train
104,train
105,train
106,train
108,train
109,train
11,train
115,train
116,train
117,train
118,train
119,train
12,train
121,train
122,train
123,train
124,train
127,train
128,train
129,train
13,train
130,train
131,train
132,train
133,train
134,train
135,train
138,train
14,train
141,train
142,train
145,train
146,train
147,train
148,train
149,train
15,train
152,train
153,train
154,train
155,train
156,train
157,train
159,train
16,train
160,train
161,train
162,train
163,train
164,train
166,train
167,train
169,train
17,train
170,train
171,train
172,train
173,train
175,train
176,train
177,train
18,train
180,train
181,train
182,train
183,train
185,train
187,train
188,train
189,train
19,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
2,train
20,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
211,train
212,train
214,train
217,train
219,train
22,train
220,train
222,train
223,train
224,train
225,train
226,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
236,train
238,train
239,train
24,train
240,train
241,train
242,train
243,train
245,train
246,train
248,train
249,train
250,train
251,train
252,train
253,train
255,train
257,train
258,train
26,train
262,train
263,train
264,train
266,train
267,train
268,train
269,train
27,train
270,train
272,train
273,train
274,train
276,train
278,train
283,train
285,train
286,train
287,train
29,train
290,train
293,train
297,train
3,train
301,train
302,train
303,train
304,train
305,train
306,train
308,train
311,train
313,train
315,train
316,train
317,train
32,train
322,train
323,train
324,train
325,train
326,train
329,train
33,train
335,train
339,train
34,train
340,train
341,train
342,train
343,train
344,train
345,train
347,train
35,train
350,train
352,train
353,train
354,train
356,train
357,train
358,train
359,train
36,train
362,train
364,train
367,train
368,train
369,train
37,train
372,train
375,train
378,train
379,train
38,train
380,train
381,train
383,train
386,train
387,train
388,train
389,train
390,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
40,train
400,train
403,train
404,train
405,train
406,train
407,train
409,train
410,train
412,train
413,train
414,train
417,train
418,train
419,train
42,train
420,train
421,train
422,train
423,train
426,train
427,train
43,train
430,train
431,train
433,train
434,train
435,train
437,train
438,train
440,train
441,train
442,train
443,train
446,train
447,train
448,train
449,train
45,train
452,train
453,train
455,train
456,train
457,train
458,train
459,train
46,train
460,train
461,train
463,train
