model_a,model_b,metric,n_users,delta,ci_low,ci_high
rag_1,query_only,correct,196,0.18877551020408162,0.14285714285714285,0.2372448979591837
rag_1,query_only,elicited_nll,196,-0.2329107148052966,-0.3951772664749167,-0.027882231065127903
rag_1,query_only,elicited_brier,196,-0.2250281887755102,-0.2687047608418367,-0.17968839285714283
rag_3,query_only,correct,196,0.21428571428571427,0.16581632653061223,0.26785714285714285
rag_3,query_only,elicited_nll,196,-0.3903474590904696,-0.522596873187947,-0.21610125172800215
rag_3,query_only,elicited_brier,196,-0.2745964285714285,-0.32253452806122446,-0.22694404336734694
rag_5,query_only,correct,196,0.2066326530612245,0.16326530612244897,0.25255102040816324
rag_5,query_only,elicited_nll,196,-0.37979543633861357,-0.508758102994353,-0.20463631660583168
rag_5,query_only,elicited_brier,196,-0.26284132653061226,-0.3094950892857143,-0.21582669642857144
rag_10,query_only,correct,196,0.22959183673469388,0.1760204081632653,0.2857142857142857
rag_10,query_only,elicited_nll,196,-0.2945652308386861,-0.5028199288595172,-0.03159253826750092
rag_10,query_only,elicited_brier,196,-0.2909040816326531,-0.3426551913265306,-0.23848330357142855
rag_all_support,query_only,correct,196,0.22704081632653061,0.1760204081632653,0.2780612244897959
rag_all_support,query_only,elicited_nll,196,-0.2756972197942731,-0.4854800650368503,-0.009209787848911188
rag_all_support,query_only,elicited_brier,196,-0.27873010204081633,-0.332728443877551,-0.22646775510204079
