model_a,model_b,metric,n_users,delta,ci_low,ci_high
rag_1,query_only,correct,196,0.04846938775510204,0.007653061224489796,0.08673469387755102
rag_1,query_only,elicited_nll,196,-0.0122593030943367,-0.0404845209660051,0.01566546296183043
rag_1,query_only,elicited_brier,196,-0.009198979591836737,-0.02402517857142857,0.005100038265306117
rag_3,query_only,correct,196,0.04081632653061224,0.002551020408163265,0.07908163265306123
rag_3,query_only,elicited_nll,196,-0.016002546663026345,-0.04813790729250663,0.015125003042999022
rag_3,query_only,elicited_brier,196,-0.011236734693877554,-0.026748609693877563,0.003747270408163258
rag_5,query_only,correct,196,0.04591836734693878,0.00510204081632653,0.08673469387755102
rag_5,query_only,elicited_nll,196,-0.03298355598950966,-0.062260751557555616,-0.004356453623989048
rag_5,query_only,elicited_brier,196,-0.017184183673469383,-0.03188225765306121,-0.0022686734693877528
rag_10,query_only,correct,196,0.05357142857142857,0.012755102040816327,0.09183673469387756
rag_10,query_only,elicited_nll,196,-0.038490880783203354,-0.06725286477042179,-0.010193266290498892
rag_10,query_only,elicited_brier,196,-0.02242397959183674,-0.03694445153061224,-0.008410076530612244
rag_all_support,query_only,correct,196,0.07397959183673469,0.03571428571428571,0.11479591836734694
rag_all_support,query_only,elicited_nll,196,-0.05723184863958266,-0.08574675508759391,-0.02857575003729369
rag_all_support,query_only,elicited_brier,196,-0.03093826530612245,-0.04583753826530611,-0.016098992346938772
