model_a,model_b,metric,n_users,delta,ci_low,ci_high
ats_g_plus_rag_cf,rag_selected_cf,accuracy,196,0.2755102040816326,0.2193877551020408,0.32908163265306123
ats_g_plus_rag_cf,rag_selected_cf,nll,196,-0.5261647950982388,-0.6755025601953406,-0.40523171905317257
ats_g_plus_rag_cf,rag_selected_cf,brier,196,-0.27548589565783854,-0.322478482194524,-0.22863659558636898
ats_g_plus_rag_cf,ats_g,accuracy,196,0.058673469387755105,0.02295918367346939,0.09693877551020408
ats_g_plus_rag_cf,ats_g,nll,196,-0.035774873245012745,-0.06765750734857617,0.007865207644457684
ats_g_plus_rag_cf,ats_g,brier,196,-0.029745404949437258,-0.04251017258765787,-0.01584443700736425
ats_g,rag_selected_cf,accuracy,196,0.21683673469387754,0.15306122448979592,0.2780612244897959
ats_g,rag_selected_cf,nll,196,-0.49038992185322594,-0.678654958771363,-0.34483154051061166
ats_g,rag_selected_cf,brier,196,-0.2457404907084013,-0.30215265198987334,-0.1902195720325039
rag_selected_cf,llm_query_only,accuracy,196,0.20408163265306123,0.15306122448979592,0.25255102040816324
rag_selected_cf,llm_query_only,nll,196,-0.37696077180947224,-0.5099171157562414,-0.20802388720905457
rag_selected_cf,llm_query_only,brier,196,-0.2655331632653061,-0.31380431122448976,-0.21617146683673472
ats_g,ats_reset,accuracy,196,0.01020408163265306,-0.01020408163265306,0.030612244897959183
ats_g,ats_reset,nll,196,-0.029455746896038245,-0.0431534911179778,-0.014847243719503286
ats_g,ats_reset,brier,196,-0.015629571357349294,-0.023715698582012532,-0.007468134779323845
