fold,rag_condition,train_user_mean_nll,n_train_users
0,rag_1,1.552076930338809,156
0,rag_3,1.3943563129451728,156
0,rag_5,1.4059415678104585,156
0,rag_10,1.5558463947613654,156
0,rag_all_support,1.5871906585641444,156
1,rag_1,1.458232648345842,157
1,rag_3,1.357422277560823,157
1,rag_5,1.383498637448711,157
1,rag_10,1.5029300218728228,157
1,rag_all_support,1.5242590287361646,157
2,rag_1,1.5772589205383123,157
2,rag_3,1.3953150154982563,157
2,rag_5,1.4064433867129862,157
2,rag_10,1.434139663449352,157
2,rag_all_support,1.4576828853272235,157
3,rag_1,1.5138868255897124,157
3,rag_3,1.3319388569365609,157
3,rag_5,1.3394543826886072,157
3,rag_10,1.365817714458643,157
3,rag_all_support,1.3808808586070394,157
4,rag_1,1.5990951835511444,157
4,rag_3,1.4343325158881708,157
4,rag_5,1.4307936990237653,157
4,rag_10,1.533960846906001,157
4,rag_all_support,1.5371007320137569,157
