fold,rag_condition,lambda_rag,train_user_mean_nll,n_train_users
0,rag_3,0.0,0.905176485942929,156
0,rag_3,0.05,0.8850694424372603,156
0,rag_3,0.1,0.8739563949201175,156
0,rag_3,0.15,0.8679399711245966,156
0,rag_3,0.2,0.8656630320526685,156
0,rag_3,0.25,0.8668522614842578,156
0,rag_3,0.3,0.8715717368482863,156
0,rag_3,0.35,0.8799800456208058,156
0,rag_3,0.4,0.8922602100363617,156
0,rag_3,0.45,0.9085987881504022,156
0,rag_3,0.5,0.929177678825965,156
0,rag_3,0.55,0.9541684722702061,156
0,rag_3,0.6,0.9837268340242443,156
0,rag_3,0.65,1.017986957763846,156
0,rag_3,0.7,1.057056955716956,156
0,rag_3,0.75,1.101015598963971,156
0,rag_3,0.8,1.1499094777987846,156
0,rag_3,0.85,1.2037487859229077,156
0,rag_3,0.9,1.2625008172513963,156
0,rag_3,0.95,1.326082622028834,156
0,rag_3,1.0,1.3943563129452212,156
1,rag_3,0.0,0.8635018769751007,157
1,rag_3,0.05,0.8432135910103363,157
1,rag_3,0.1,0.8318562928393722,157
1,rag_3,0.15,0.8255337175546871,157
1,rag_3,0.2,0.8228915215489454,157
1,rag_3,0.25,0.8236607713815197,157
1,rag_3,0.3,0.8279139000238646,157
1,rag_3,0.35,0.8358233753404932,157
1,rag_3,0.4,0.8475928431122154,157
1,rag_3,0.45,0.8634372315373893,157
1,rag_3,0.5,0.8835751263387761,157
1,rag_3,0.55,0.9082228896826119,157
1,rag_3,0.6,0.9375876163542742,157
1,rag_3,0.65,0.9718586622714018,157
1,rag_3,0.7,1.0111985766437475,157
1,rag_3,0.75,1.0557343957260994,157
1,rag_3,0.8,1.1055498247283144,157
1,rag_3,0.85,1.1606784814316249,157
1,rag_3,0.9,1.2210982822909893,157
1,rag_3,0.95,1.286727299887237,157
1,rag_3,1.0,1.3574222775608773,157
2,rag_3,0.0,0.9232759595291652,157
2,rag_3,0.05,0.9033711339438728,157
2,rag_3,0.1,0.8919450110887145,157
2,rag_3,0.15,0.8853921424612401,157
2,rag_3,0.2,0.882444529854983,157
2,rag_3,0.25,0.882853147287253,157
2,rag_3,0.3,0.8866898638085783,157
2,rag_3,0.35,0.8941194555289785,157
2,rag_3,0.4,0.9053343618227822,157
2,rag_3,0.45,0.9205356922282979,157
2,rag_3,0.5,0.939925866942389,157
2,rag_3,0.55,0.9637029225309044,157
2,rag_3,0.6,0.9920535731564755,157
2,rag_3,0.65,1.0251445312072673,157
2,rag_3,0.7,1.0631127643207083,157
2,rag_3,0.75,1.1060559120252258,157
2,rag_3,0.8,1.1540242506447311,157
2,rag_3,0.85,1.2070155923979793,157
2,rag_3,0.9,1.2649739892885494,157
2,rag_3,0.95,1.3277919493972175,157
2,rag_3,1.0,1.3953150154983043,157
3,rag_3,0.0,0.9219164174484328,157
3,rag_3,0.05,0.8986245057694559,157
3,rag_3,0.1,0.8833903327796323,157
3,rag_3,0.15,0.8728610236842167,157
3,rag_3,0.2,0.8659466702870927,157
3,rag_3,0.25,0.8624619287420773,157
3,rag_3,0.3,0.8625024667573433,157
3,rag_3,0.35,0.8662472771724001,157
3,rag_3,0.4,0.8739015290216806,157
3,rag_3,0.45,0.885678725647076,157
3,rag_3,0.5,0.9017922589517927,157
3,rag_3,0.55,0.9224478523257942,157
3,rag_3,0.6,0.9478347959105109,157
3,rag_3,0.65,0.9781162471292457,157
3,rag_3,0.7,1.0134198889727923,157
3,rag_3,0.75,1.0538302764164678,157
3,rag_3,0.8,1.0993835717001352,157
3,rag_3,0.85,1.1500646463031043,157
3,rag_3,0.9,1.2058059662101592,157
3,rag_3,0.95,1.2664876240752403,157
3,rag_3,1.0,1.331938856936612,157
4,rag_5,0.0,0.9144005081586459,157
4,rag_5,0.05,0.8978687842073491,157
4,rag_5,0.1,0.8891856187401049,157
4,rag_5,0.15,0.8851290962636312,157
4,rag_5,0.2,0.8845769050410565,157
4,rag_5,0.25,0.8873210188619628,157
4,rag_5,0.3,0.8934454383391575,157
4,rag_5,0.35,0.9031218075751297,157
4,rag_5,0.4,0.9165497375717501,157
4,rag_5,0.45,0.9339379141325441,157
4,rag_5,0.5,0.955495030599488,157
4,rag_5,0.55,0.9814219691878109,157
4,rag_5,0.6,1.0119033731434832,157
4,rag_5,0.65,1.0470990517642553,157
4,rag_5,0.7,1.0871363296445056,157
4,rag_5,0.75,1.1321040344280742,157
4,rag_5,0.8,1.1820478691260905,157
4,rag_5,0.85,1.2369664405708285,157
4,rag_5,0.9,1.2968078829514094,157
4,rag_5,0.95,1.3614682949249401,157
4,rag_5,1.0,1.4307936990238066,157
