condition,n_query,n_users,accuracy,nll,brier,mean_p_true,lambda_rag
lambda_0.00,392,196,0.6326530612244898,0.9056548590032883,0.49566308072017007,0.4870923755053421,0.0
lambda_0.05,392,196,0.6785714285714286,0.887355542686014,0.48559082986813357,0.48800201967394674,0.05
lambda_0.10,392,196,0.6811224489795918,0.8763899310320962,0.4779520581022045,0.48779885070290235,0.1
lambda_0.15,392,196,0.6887755102040817,0.869866659576814,0.47143177225634453,0.4869498925345825,0.15
lambda_0.20,392,196,0.6938775510204082,0.8668667123143554,0.46643795547248135,0.4854891143966038,0.2
lambda_0.25,392,196,0.6887755102040817,0.867254745057239,0.4633575726521276,0.48335924099232974,0.25
lambda_0.30,392,196,0.6887755102040817,0.8711391767779129,0.4624729729894911,0.48048526866828195,0.3
lambda_0.35,392,196,0.6862244897959183,0.8787016600145776,0.4640213097581685,0.47679021411733613,0.35
lambda_0.40,392,196,0.6760204081632653,0.8901485255972253,0.4682142828498528,0.47220325297787635,0.4
lambda_0.45,392,196,0.673469387755102,0.9056964417994096,0.475240772363511,0.46666691818424727,0.45
lambda_0.50,392,196,0.6403061224489796,0.9255660810572701,0.4852632450926355,0.460145062737272,0.5
lambda_0.55,392,196,0.6301020408163265,0.9499758270949911,0.49840818397402115,0.45263163968730974,0.55
lambda_0.60,392,196,0.6173469387755102,0.979132985423065,0.5147482638065201,0.44415858436449485,0.6
lambda_0.65,392,196,0.5943877551020408,1.0132223468430768,0.5342783686254668,0.43479964998584,0.65
lambda_0.70,392,196,0.5714285714285714,1.0523937016855773,0.5568960219934735,0.42466761968490474,0.7
lambda_0.75,392,196,0.5382653061224489,1.0967507979176234,0.5823990448420674,0.4139055037422212,0.75
lambda_0.80,392,196,0.5178571428571429,1.1463436800390336,0.6105024138318021,0.40267560764150623,0.8
lambda_0.85,392,196,0.4897959183673469,1.2011647621801662,0.6408624383598397,0.3911505010832724,0.85
lambda_0.90,392,196,0.45918367346938777,1.2611476561583652,0.673092559654227,0.37950692933238556,0.9
lambda_0.95,392,196,0.4362244897959184,1.3261677496817599,0.706764121445555,0.36792023609363733,0.95
lambda_1.00,392,196,0.41581632653061223,1.3960447808565606,0.7414035714285505,0.3565561224489576,1.0
