model_a,model_b,metric,n_users,delta,ci_low,ci_high
static_profile,ats_reset_query_only,accuracy,361,-0.01091464596234564,-0.02259223938417516,0.0008251918156119691
static_profile,ats_reset_query_only,nll,361,-0.0040939074116884125,-0.012469895160675933,0.003223871589035861
static_profile,ats_reset_query_only,brier,361,-0.0008152779739711324,-0.004776175189755764,0.0030711821374490387
semantic_retrieval,ats_reset_query_only,accuracy,361,-0.013064345765040158,-0.024728810130963362,-0.0019669182428378004
semantic_retrieval,ats_reset_query_only,nll,361,-0.001925008128985474,-0.009400708996467673,0.005232246396225491
semantic_retrieval,ats_reset_query_only,brier,361,0.0003170273084872448,-0.0031814564000469947,0.0037597367536960063
ats_g,static_profile,accuracy,361,0.005225720969802535,-0.0067074495276676395,0.017521563722054313
ats_g,static_profile,nll,361,-0.020237762856054713,-0.03022070768033609,-0.010243956118403001
ats_g,static_profile,brier,361,-0.011753041472635983,-0.01718708597679451,-0.006451270219782895
ats_g,semantic_retrieval,accuracy,361,0.007375420772497054,-0.005286146918459125,0.020098709571128043
ats_g,semantic_retrieval,nll,361,-0.022406662138757652,-0.03286327747478344,-0.011517900680746438
ats_g,semantic_retrieval,brier,361,-0.012885346755094363,-0.019078960459599323,-0.006763836088791897
ats_plus_retrieval,semantic_retrieval,accuracy,361,0.0072035730244720195,-0.00516706655381031,0.019106392333088137
ats_plus_retrieval,semantic_retrieval,nll,361,-0.022843186863326665,-0.03231193161700504,-0.013496780515635487
ats_plus_retrieval,semantic_retrieval,brier,361,-0.01301914495438359,-0.018119079170672014,-0.0076994665069397535
ats_plus_retrieval,ats_g,accuracy,361,-0.0001718477480250333,-0.0035562315877412836,0.0033469089390142036
ats_plus_retrieval,ats_g,nll,361,-0.000436524724569009,-0.00149846910161453,0.0005803001955100752
ats_plus_retrieval,ats_g,brier,361,-0.00013379819928922946,-0.000677524375137896,0.00041615691671315395
