persona_id,raw_persona_file,n_preference_updates_map,n_nonforget_updated_blocks,n_crosschecked_pairs,split
953,data/raw_data/raw_data_250826_131038_persona953.json,17,17,17,train
478,data/raw_data/raw_data_250819_225921_persona478.json,24,24,24,train
906,data/raw_data/raw_data_250825_220103_persona906.json,26,26,26,train
673,data/raw_data/raw_data_250820_224501_persona673.json,30,30,30,train
580,data/raw_data/raw_data_250820_165412_persona580.json,34,34,34,train
167,data/raw_data/raw_data_250815_163935_persona167.json,28,28,28,train
164,data/raw_data/raw_data_250815_163935_persona164.json,29,29,29,train
654,data/raw_data/raw_data_250820_224501_persona654.json,33,33,33,train
792,data/raw_data/raw_data_250820_224501_persona792.json,18,18,18,train
557,data/raw_data/raw_data_250819_225921_persona557.json,29,29,29,train
152,data/raw_data/raw_data_250815_163935_persona152.json,34,34,34,train
82,data/raw_data/raw_data_250815_163935_persona82.json,25,25,25,train
735,data/raw_data/raw_data_250820_224501_persona735.json,26,26,26,train
830,data/raw_data/raw_data_250820_224501_persona830.json,25,25,25,train
160,data/raw_data/raw_data_250815_163935_persona160.json,22,22,22,train
65,data/raw_data/raw_data_250815_163935_persona65.json,24,24,24,train
854,data/raw_data/raw_data_250820_224501_persona854.json,29,29,29,train
781,data/raw_data/raw_data_250820_224501_persona781.json,31,31,31,train
380,data/raw_data/raw_data_250818_011555_persona380.json,25,25,25,train
400,data/raw_data/raw_data_250818_011555_persona400.json,25,25,25,train
569,data/raw_data/raw_data_250820_165412_persona569.json,20,20,20,val
766,data/raw_data/raw_data_250820_224501_persona766.json,19,18,18,val
53,data/raw_data/raw_data_250815_163935_persona53.json,31,31,31,val
653,data/raw_data/raw_data_250820_224501_persona653.json,26,26,26,val
701,data/raw_data/raw_data_250820_224501_persona701.json,27,27,27,val
540,data/raw_data/raw_data_250819_225921_persona540.json,26,26,26,val
31,data/raw_data/raw_data_250815_163935_persona31.json,27,27,27,val
430,data/raw_data/raw_data_250818_011555_persona430.json,25,25,25,val
14,data/raw_data/raw_data_250815_155601_persona14.json,26,26,26,val
988,data/raw_data/raw_data_250826_131038_persona988.json,22,22,22,val
891,data/raw_data/raw_data_250825_220103_persona891.json,36,36,36,val
574,data/raw_data/raw_data_250820_165412_persona574.json,22,22,22,val
185,data/raw_data/raw_data_250815_163935_persona185.json,24,24,24,val
665,data/raw_data/raw_data_250820_224501_persona665.json,22,22,22,val
982,data/raw_data/raw_data_250826_131038_persona982.json,21,21,21,val
497,data/raw_data/raw_data_250819_225921_persona497.json,24,24,24,val
834,data/raw_data/raw_data_250820_224501_persona834.json,27,26,26,val
223,data/raw_data/raw_data_250815_163935_persona223.json,31,31,31,val
796,data/raw_data/raw_data_250820_224501_persona796.json,25,25,25,val
220,data/raw_data/raw_data_250815_163935_persona220.json,23,23,23,val
328,data/raw_data/raw_data_250815_163935_persona328.json,20,20,20,test
44,data/raw_data/raw_data_250815_163935_persona44.json,24,24,24,test
499,data/raw_data/raw_data_250819_225921_persona499.json,9,9,9,test
451,data/raw_data/raw_data_250818_011555_persona451.json,22,22,22,test
973,data/raw_data/raw_data_250826_131038_persona973.json,25,25,25,test
787,data/raw_data/raw_data_250820_224501_persona787.json,27,27,27,test
822,data/raw_data/raw_data_250820_224501_persona822.json,29,29,29,test
549,data/raw_data/raw_data_250819_225921_persona549.json,31,31,31,test
332,data/raw_data/raw_data_250815_163935_persona332.json,26,26,26,test
650,data/raw_data/raw_data_250820_224501_persona650.json,31,31,31,test
139,data/raw_data/raw_data_250815_163935_persona139.json,33,33,33,test
589,data/raw_data/raw_data_250820_165412_persona589.json,26,26,26,test
280,data/raw_data/raw_data_250815_163935_persona280.json,21,21,21,test
494,data/raw_data/raw_data_250819_225921_persona494.json,31,31,31,test
584,data/raw_data/raw_data_250820_165412_persona584.json,22,22,22,test
310,data/raw_data/raw_data_250815_163935_persona310.json,28,28,28,test
590,data/raw_data/raw_data_250820_165412_persona590.json,22,22,22,test
644,data/raw_data/raw_data_250820_224501_persona644.json,23,23,23,test
977,data/raw_data/raw_data_250826_131038_persona977.json,21,21,21,test
697,data/raw_data/raw_data_250820_224501_persona697.json,30,30,30,test
